,target,source,dialect,region,speaker,utterance
4,False,childes,Spain,Spain,INV-DZIZ,ah (.) tienes tres añitos .
6,False,childes,Spain,Spain,INV-DZIZ,vamos a hablar un poco .
9,False,childes,Spain,Spain,INV-DZIZ,sí (.) venga borra .
21,False,childes,Spain,Spain,INV-DZIZ,ése no es .
38,False,childes,Spain,Spain,INV-DZIZ,azul .
40,False,childes,Spain,Spain,INV-DZIZ,otra vez rojo (.) (.) y esto ?
42,False,childes,Spain,Spain,INV-DZIZ,verde y azul (.) y el qué tienes tú ?
50,False,childes,Spain,Spain,INV-DZIZ,pero vamos a contar el cuento .
54,False,childes,Spain,Spain,INV-DZIZ,que me lo cuentes (.) vale ?
61,False,childes,Spain,Spain,INV-DZIZ,está al revés Sergio [= el cuento de Caperucita] !
65,False,childes,Spain,Spain,INV-DZIZ,eh (.) ahí muy bien (.) toma (.) el chupachús !
69,False,childes,Spain,Spain,INV-DZIZ,qué le dice ?
71,False,childes,Spain,Spain,INV-DZIZ,y qué es lo que tiene ?
72,False,childes,Spain,Spain,INV-DZIZ,el qué ?
80,False,childes,Spain,Spain,INV-DZIZ,y qué pasó ?
86,False,childes,Spain,Spain,INV-DZIZ,tiene ?
88,False,childes,Spain,Spain,INV-DZIZ,yo tengo piernas .
89,False,childes,Spain,Spain,INV-DZIZ,y tú tienes patas ?
99,False,childes,Spain,Spain,INV-DZIZ,pues yo creo que no te gusta mucho (.) eh ?
103,False,childes,Spain,Spain,INV-DZIZ,ahora vamos a pintar a Caperucita (.) y al lobo (.) vale ?
106,False,childes,Spain,Spain,INV-DZIZ,por qué no (.) qué ?
121,False,childes,Spain,Spain,INV-DZIZ,yo las pongo (.) venga [% las pinto] (.) así vale (.) venga (.) éste es el lobo (.) vale ?
122,False,childes,Spain,Spain,INV-DZIZ,rojo (.) venga a_ver (.) toma [= lápiz rojo] !
124,False,childes,Spain,Spain,INV-DZIZ,qué más (.) el sombrero ?
144,False,childes,Spain,Spain,INV-DZIZ,no [/] no explícamelo (.) a_ver .
146,False,childes,Spain,Spain,INV-DZIZ,y el pelo ?
153,False,childes,Spain,Spain,INV-DZIZ,por qué ?
158,False,childes,Spain,Spain,INV-DZIZ,pintamos la puerta !
161,False,childes,Spain,Spain,INV-DZIZ,no [/] no [/] no acabó .
165,False,childes,Spain,Spain,INV-DZIZ,pero tienes un lápiz .
174,False,childes,Spain,Spain,INV-DZIZ,ah !
176,False,childes,Spain,Spain,INV-DZIZ,con pájaros (.) cuántos pájaros quieres ?
181,False,childes,Spain,Spain,INV-DZIZ,oye mira (.) seguimos con esto [= cuento de pegatinas] ?
182,False,childes,Spain,Spain,INV-DZIZ,que aún faltan muchos !
183,False,childes,Spain,Spain,INV-DZIZ,venga vamos a colocar pegatinas en el cuento (.) vale ?
196,False,childes,Spain,Spain,INV-DZIZ,oye (.) pero no se va a mojar ?
212,False,childes,Spain,Spain,INV-DZIZ,muy bien (.) qué más ?
224,False,childes,Spain,Spain,INV-DZIZ,no !
225,False,childes,Spain,Spain,INV-DZIZ,un helicóptero (.) venga a_ver .
226,False,childes,Spain,Spain,INV-DZIZ,pero (.) un helicóptero con un niño ?
246,False,childes,Spain,Spain,INV-DZIZ,con eso ?
256,False,childes,Spain,Spain,INV-DZIZ,sí (.) te gusta a tí esto ?
260,False,childes,Spain,Spain,INV-DZIZ,qué lo abra ?
264,False,childes,Spain,Spain,INV-DZIZ,cómo es (.) es guapo ?
272,False,childes,Spain,Spain,INV-DZIZ,te lo cuento (.) mira .
273,False,childes,Spain,Spain,INV-DZIZ,Alí_Babá (.) ves (.) qué es joven ?
275,False,childes,Spain,Spain,INV-DZIZ,a unos malvados (.) mira (.) ves (.) en un caballo (.) a qué sí ?
294,False,childes,Spain,Spain,INV-DZIZ,madre .
298,False,childes,Spain,Spain,INV-DZIZ,claro (.) y el niño (.) qué es lo que hace ?
305,False,childes,Spain,Spain,INV-DZIZ,a_ver (.) espera (.) (.) ves (.) y la niña se sentó en una silla (.) y qué hizo ?
307,False,childes,Spain,Spain,INV-DZIZ,la silla porque la niña pesa mucho (.) y entonces (.) qué (.) el qué hizo (.) se acostó en la cama del osito hijo (.) ves ?
310,False,childes,Spain,Spain,INV-DZIZ,felices (.) se hicieron muy amigos (.) a qué es chulo (.) eh ?
319,False,childes,Spain,Spain,INV-DZIZ,y esto ?
320,False,childes,Spain,Spain,INV-DZIZ,así (.) ves (.) venga a_ver pasamos la página y (.) aquí hay (.) qué hay aquí ?
322,False,childes,Spain,Spain,INV-DZIZ,muchos barcos y cuántos barcos hay ?
332,False,childes,Spain,Spain,INV-DZIZ,el osito padre ?
333,False,childes,Spain,Spain,INV-DZIZ,venga (.) píntalo (.) venga a_ver .
334,False,childes,Spain,Spain,INV-DZIZ,sí tienes boli (.) toma .
339,False,childes,Spain,Spain,INV-DZIZ,el ombligo (.) y las patas (.) (.) eh ?
348,False,childes,Spain,Spain,INV-DZIZ,y vamos a pintar (.) a_ver vamos a pintar a ésta (.) quién es ésta ?
351,False,childes,Spain,Spain,INV-DZIZ,se cayó de la silla (.) y por qué se cayó de la silla ?
352,False,childes,Spain,Spain,INV-DZIZ,porque la rompió sola (.) claro (.) oye (.) Sergio (.) y la cama (.) cómo es ?
390,False,childes,Spain,Spain,INV-DZIZ,vamos a [/] a empezar con éste .
395,False,childes,Spain,Spain,INV-DZIZ,éste sí (.) mira [/] mira [/] mira (.) qué es esto ?
399,False,childes,Spain,Spain,INV-DZIZ,a qué quieres jugar ?
402,False,childes,Spain,Spain,INV-DZIZ,pero borras antes ?
405,False,childes,Spain,Spain,INV-DZIZ,<mira así> [/] (.) mira (.) así .
406,False,childes,Spain,Spain,INV-DZIZ,sí .
418,False,childes,Spain,Spain,INV-DZIZ,es eso ?
422,False,childes,Spain,Spain,INV-DZIZ,y un sol ?
425,False,childes,Spain,Spain,INV-DZIZ,venga (.) a_ver .
426,False,childes,Spain,Spain,INV-DZIZ,no lo vamos a hacer ?
427,False,childes,Spain,Spain,INV-DZIZ,por qué ?
431,False,childes,Spain,Spain,INV-DZIZ,luego venga (.) luego [/] luego (.) a_ver (.) la cabeza (.) venga !
432,False,childes,Spain,Spain,INV-DZIZ,toma [= tiza] (.) las patas ?
433,False,childes,Spain,Spain,INV-DZIZ,es un perro sin patas ?
440,False,childes,Spain,Spain,INV-DZIZ,sí (.) &=rie y no te haces daño ?
442,False,childes,Spain,Spain,INV-DZIZ,a mamá (.) (.) venga (.) a_ver .
456,False,childes,Spain,Spain,INV-DZIZ,y cómo ando ?
462,False,childes,Spain,Spain,INV-DZIZ,tarta (.) te gustan (.) (.) mira vamos a hacerle chocolate (.) vale (.) venga a_ver chocolate (.) así (.) de color negro (.) a qué sí ?
474,False,childes,Spain,Spain,INV-DZIZ,tu cumpleaños .
491,False,childes,Spain,Spain,INV-DZIZ,vamos a_ver qué es lo que tiene Teo (.) vale ?
501,False,childes,Spain,Spain,INV-DZIZ,pues si lo pintas (.) está mal eso (.) eh (.) mira están todos comiendo mucho (.) viste ?
522,False,childes,Spain,Spain,INV-DZIZ,dime (.) (.) (.) y éste quién es ?
529,False,childes,Spain,Spain,INV-DZIZ,venga (.) ahora Sergio (.) <por último> [/] por último (.) vale (.) vamos a contar a la radio lo del doctor y ya está (.) vale ?
530,False,childes,Spain,Spain,INV-DZIZ,venga (.) a_ver (.) qué te pasó (.) qué te dijo ?
532,False,childes,Spain,Spain,INV-DZIZ,venga me cuentas lo del doctor (.) vale ?
542,False,childes,Spain,Spain,INV-DZIZ,y [/] y qué más ?
546,False,childes,Spain,Spain,INV-DZIZ,sí (.) por qué ?
548,False,childes,Spain,Spain,INV-DZIZ,y cuando fuiste al oculista (.) qué te dijo ?
563,False,childes,Spain,Spain,INV-DZIZ,sí (.) te gusta hablar ?
565,False,childes,Spain,Spain,INV-DZIZ,escribir (.) pero tú sabes escribir ?
572,False,childes,Spain,Spain,INV-DZIZ,eh (.) y ese quién es (.) ese es Zipi_Zape (.) no ?
573,False,childes,Spain,Spain,INV-DZIZ,oye pero sabes una cosa a mí me gusta mucho más Caperucita .
578,False,childes,Spain,Spain,INV-DZIZ,dime .
580,False,childes,Spain,Spain,INV-DZIZ,sí [/] sí pero (.) no vas a hablar más ?
582,False,childes,Spain,Spain,INV-DZIZ,por qué ?
589,False,childes,Spain,Spain,INV-DZIZ,sí (.) pero tienes que decirle adiós (.) vale ?
590,False,childes,Spain,Spain,INV-DZIZ,dile (.) venga adiós !
